"wordlist-id","describtion"
"5","WV Root Words 2, Stage 1","spelldoctor","1",
"4","WV Root Words 3, Stage 1","spelldoctor","1",
"7","Fun with Origins, Stage 1","spelldoctor","1",
"8","WV Root Words 1","spelldoctor","1",
"12","Dolch- Grade 2","sfcs","0",
"11","Dolch 1st","sfcs","0",
"13","Dolch- Grade 3","sfcs","0",
"14","Dolch- Grade 4, Stage 1","sfcs","0",
"15","Dolch, Grade 5","sfcs","1",
"16","Contractions","sfcs","1",NULL
"17","Doubling","sfcs","1",NULL
"18","Native American and Explorers","douglas","1",NULL
"19","Sign of the Beaver","douglas","1",NULL
"20","Living Earth Words","uscs","1",NULL
"21","Prefixes 2","sfcs","0",NULL
"22","Suffixes 1","sfcs","0",NULL
"23","Dolch Pre-primer","sfcs","0",NULL
"24","Dolch Primer","sfcs","0",NULL
"25","A Midsummer Night's Dream","arps","1",NULL
"26","JGS List 1","jgs","0",NULL
"27","Frankenstein, Chapters 1 & 2","derryfield","0",NULL
"28","Frankenstein, Chapters 3 & 4","derryfield","0",NULL
"29","Frankenstein, Chapters 5 & 6","derryfield","0",NULL
"30","Frankenstein, Prologue","derryfield","0",NULL
"31","Miller 1","rsu40","0",NULL
"32","Fleas and Roaches","bakie","0",NULL
"33","Journalism","spelldoctor","1",
"34","Touching Spirit Bear","spelldoctor","1",NULL
"35","The Phantom Tollbooth","spelldoctor","1",
"36","Drums, Girls and Dangerous Pie","spelldoctor","1",NULL
"37","Word List 11","spelldoctor","1",NULL
"38","Math","spelldoctor","0",NULL
"39","Math Terms 2","spelldoctor","0",NULL
"40","Unit 12B","spelldoctor","0",NULL
"41","List #2","spelldoctor","0",NULL
"42","Biology","spelldoctor","1",NULL
"43","Earth and Space Science","spelldoctor","1",NULL
"44","Frankenstein, Chapters 7 & 8","spelldoctor","0",NULL
"45","VFA Intro 1-10","spelldoctor","0",NULL
"90","Wuthering Heights 1","spelldoctor","1",NULL
"47","Roman Empire","spelldoctor","1",NULL
"48","Economics","spelldoctor","0",NULL
"49","Math Terms","spelldoctor","0",NULL
"50","Wuthering Heights 9.2","spelldoctor","0",NULL
"51","Stone Fox","spelldoctor","1",NULL
"52","Endings le and el","spelldoctor","0",NULL
"53","And Then There Were None","spelldoctor","1",NULL
"54","Grimpow","spelldoctor","1",NULL
"55","Skill Words","spelldoctor","0",NULL
"56","old caesar","spelldoctor","0",NULL
"57","Othello","spelldoctor","1",NULL
"58","The Great Gatsby1","spelldoctor","1",
"59","A Raisin In The Sun","spelldoctor","1",NULL
"78","Eng 8, Vocab 1","spelldoctor","0",NULL
"61","The Narrative of the Life of Frederick Douglass","spelldoctor","1",
"62","Passing by Nella Larson","spelldoctor","1",NULL
"63","The Penelopiad","spelldoctor","0",NULL
"64","Frankenstein, Chapters 9 & 10","spelldoctor","0",NULL
"65","Frankenstein, Chapters 11 & 12","spelldoctor","0",NULL
"66","Frankenstein, Chapters 13-16","spelldoctor","0",NULL
"67","Frankenstein, Chapters 17 & 18","spelldoctor","0",NULL
"68","Frankenstein, Chapters 19 & 20","spelldoctor","0",NULL
"69","Frankenstein, Chapters 21 & 22","spelldoctor","0",NULL
"70","Frankenstein, Chapters 23 & 24","spelldoctor","0",NULL
"71","Frankenstein-Monster List","spelldoctor","0",
"3","WV SAT/ACT, Stage 1","spelldoctor","1",
"72","Macbeth-long","spelldoctor","0",NULL
"73","Math Terms","spelldoctor","1",NULL
"86","The Giver","spelldoctor","1",NULL
"85","The Odyssey 1","spelldoctor","1",NULL
"74","Fessy Five","spelldoctor","0",NULL
"77","Flowers for Algernon","spelldoctor","1",NULL
"75","Antigone","spelldoctor","1",NULL
"76","The Death of Ivan Ilyich","spelldoctor","1",NULL
"79","Hydrosphere and Atmosphere","spelldoctor","1",
"387","Colonization","spelldoctor","1",
"81","Roll of Thunder Hear My Cry","spelldoctor","1",NULL
"82","The Cay","spelldoctor","1",NULL
"83","The Catcher In The Rye","spelldoctor","1",
"84","Religion Terms","spelldoctor","0",NULL
"87","Lord of the Flies","spelldoctor","1",NULL
"88","Fessy Five-2","spelldoctor","0",NULL
"89","AP Language","spelldoctor","0",NULL
"91","Julius Caesar","spelldoctor","1",NULL
"92","VFA First Course 1-10","spelldoctor","0",NULL
"93","VFA Second Course 1-10","spelldoctor","0",NULL
"94","VFA Third Course 1-10","spelldoctor","0",NULL
"95","Of Mice and Men","spelldoctor","1",NULL
"96","The Breadwinner","spelldoctor","1",NULL
"97","The Witch of Blackbird Pond","spelldoctor","1",NULL
"98","The Watsons go to Birmingham, 1963","spelldoctor","1",NULL
"99","Where The Red Fern Grows","spelldoctor","1",NULL
"100","Test List","spelldoctor","1",NULL
"270","The Misfits","spelldoctor","1",NULL
"101","Island of the Blue Dolphins","spelldoctor","1",NULL
"102","Animal Dreams 1","spelldoctor","1",NULL
"103","Running Out of Time","spelldoctor","1",NULL
"104","Immigration","spelldoctor","1",
"105","Scientific Revolution","spelldoctor","1",
"106","Diary of Anne Frank-the play","spelldoctor","1",NULL
"107","Great Words 7","spelldoctor","1",
"108","Great Words 4","spelldoctor","1",
"109","Great Words 2","spelldoctor","1",
"110","Great Words 1","spelldoctor","1",
"111","Grade 11 vocab, 1","spelldoctor","1",NULL
"112","Grade 12 vocab, 1","spelldoctor","1",NULL
"113","3rd Grade Root Words","SpellDoctor","0",NULL
"114","4th Grade Root Words","spelldoctor","0",NULL
"115","4th Grade Spelling Words","spelldoctor","0",NULL
"116","Blood on the River-short","spelldoctor","1",NULL
"117","Homophones","spelldoctor","0",NULL
"118","Wonder","spelldoctor","1",NULL
"119","The Crucible","spelldoctor","1",NULL
"120","Oedipus Rex","spell doctor","1",NULL
"121","A Doll's House","spelldoctor","1",NULL
"122","The Awakening","spelldoctor","1",NULL
"123","Crossroads Math","spelldoctor","0",NULL
"124","AV-grade 5","spelldoctor","0",NULL
"125","Cambridge Latin 1-5","spelldoctor","0",NULL
"126","Short Story Vocab1-msca","spelldoctor","1",NULL
"127","Seedfolks","spelldoctor","1",NULL
"128","World Lit 1","spelldoctor","1",NULL
"129","Cambridge Latin 6-12","spelldoctor","0",NULL
"130","VFS-2","spelldoctor","0",NULL
"131","Farewell to Manzanar","spelldoctor","1",NULL
"132","Ender's Game","spelldoctor","1",NULL
"133","The Little Prince","spelldoctor","1",NULL
"134","Short Stories","spelldoctor","1",NULL
"135","SAT1","spelldoctor","1",NULL
"136","History List ","spelldoctor","0",NULL
"137","Religion Terms 2","spelldoctor","0",NULL
"138","Compiled Word List","spelldoctor","0",NULL
"160","A Wrinkle in Time","spelldoctor","1",NULL
